TileId,FspId,MinDtf,MaxDtf
1,2334,14.697784,14.998962
1,2335,14.697784,14.998962
1,2643,11.466492,14.999603
2,1,7.6350403,14.998779
2,20,7.955139,14.999359
2,150,11.510956,14.99823
2,349,14.4262085,14.998352
3,1,10.474213,14.998779
3,20,10.794312,14.999756
3,150,14.350128,14.950775
4,2334,12.9566345,14.999084
4,2335,12.9566345,14.999084
4,2643,9.725342,15.0
5,2334,11.440918,14.997894
5,2335,11.440918,14.997894
5,2643,8.209625,14.999817
6,1,0.01,14.999939
6,2,0.01,2.9904175
6,3,0.01,2.611023
6,4,0.01,2.4832153
6,5,0.01,2.3926697
6,6,0.01,14.994995
6,7,0.01,3.3966675
6,8,0.01,2.5774841
6,9,0.01,6.4336853
6,10,0.01,2.466919
6,11,0.01,8.660675
6,12,0.01,2.744995
6,13,0.01,11.273102
6,14,0.01,2.4006348
6,15,0.01,2.4311523
6,16,0.01,2.3154907
6,17,0.01,14.997681
6,18,0.01,5.748535
6,19,0.01,14.999573
6,20,0.01,14.999481
6,21,0.01,3.1030273
6,22,0.01,2.2773132
6,23,0.01,2.8847961
6,24,0.01,3.2185974
6,25,0.01,3.2381287
6,26,0.01,3.195282
6,27,0.01,0.95407104
6,28,0.01,1.8940125
6,29,0.01,3.2997437
6,30,0.01,2.536377
6,31,0.01,1.9341736
6,32,0.01,4.9813843
6,33,0.01,2.90802
6,34,0.01,2.950592
6,35,0.01,3.2649841
6,36,0.01,3.3287659
6,37,0.01,1.9599609
6,38,0.01,2.749939
6,39,0.01,2.9794617
6,40,0.01,2.7466736
6,41,0.01,0.01
6,42,0.01,2.9924316
6,43,0.01,3.6014404
6,44,0.01,3.672058
6,45,0.01,2.1949158
6,46,0.01,3.4129944
6,47,0.01,2.572815
6,48,0.01,3.4808044
6,49,0.01,5.2528687
6,50,0.01,2.9881897
6,51,0.01,5.3518677
6,52,0.01,4.316101
6,53,0.01,4.775757
6,54,0.01,2.4638672
6,55,0.01,4.7210083
6,56,0.01,2.3867798
6,57,0.01,4.888153
6,58,0.01,5.7953796
6,59,0.01,2.826355
6,60,0.01,5.989746
6,61,0.01,5.262268
6,62,0.01,6.62619
6,63,0.01,2.9054565
6,64,0.01,8.720428
6,65,0.01,9.815338
6,66,0.01,10.693451
6,67,0.01,14.749054
6,68,0.01,14.681824
6,69,0.01,10.904358
6,70,0.01,13.388519
6,71,0.01,14.405975
6,72,0.01,10.562378
6,73,0.01,13.13385
6,74,0.01,0.01
6,75,0.01,14.993744
6,76,0.01,9.251373
6,77,0.01,8.29538
6,78,0.01,8.810852
6,79,0.01,14.999664
6,80,0.01,2.6610107
6,81,0.01,7.4792786
6,82,0.01,8.961212
6,83,0.01,6.6404724
6,84,0.01,2.0460815
6,85,0.01,0.01
6,86,0.01,2.9737854
6,87,0.01,7.4128113
6,88,0.01,5.320465
6,89,0.01,5.310974
6,90,0.01,12.65567
6,91,0.01,0.01
6,92,0.01,4.7485046
6,93,0.01,0.31253052
6,94,0.01,2.4718323
6,95,0.01,2.4352417
6,96,0.01,2.392517
6,97,0.01,2.461853
6,98,0.01,0.45217896
6,99,0.01,1.7175598
6,100,0.01,1.5335388
6,101,0.01,2.9892883
6,102,0.01,1.3218689
6,103,0.01,2.5308228
6,104,0.01,2.6430664
6,105,0.01,1.6169128
6,106,0.01,1.7381592
6,107,0.01,1.7261963
6,108,0.01,4.982086
6,109,0.01,1.0970459
6,110,0.01,1.6390686
6,111,0.01,2.965271
6,112,0.01,1.8032227
6,113,0.01,0.5673523
6,114,0.01,1.7823792
6,115,0.01,0.8482361
6,116,0.01,3.9743652
6,117,0.01,1.5433655
