FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
1,-61658.2057939356,1800127.9445651,1,342.556945800781,31350.02450978557,3
2,-61648.2057939356,1800117.9445651,1,342.512115478516,31335.88237416184,3
3,-61648.2057939356,1800107.9445651,1,342.512115478516,31325.88237416184,3
4,-61638.2057939356,1800097.9445651,1,342.512115478516,31311.74023853811,3
5,-61628.2057939356,1800087.9445651,1,342.512115478516,31297.598102914377,3
6,-61618.2057939356,1800077.9445651,1,342.512115478516,31283.455967290647,3
7,-61608.2057939356,1800067.9445651,1,342.512115478516,31269.313831666917,3
8,-61598.2057939356,1800057.9445651,1,342.512115478516,31255.171696043184,3
9,-61598.2057939356,1800047.9445651,1,342.512115478516,31245.171696043184,3
10,-61588.2057939356,1800037.9445651,1,342.512115478516,31231.029560419454,3
11,-61588.2057939356,1800027.9445651,1,342.512115478516,31221.029560419454,3
12,-61578.2057939356,1800017.9445651,1,342.512115478516,31206.887424795725,3
13,-61578.2057939356,1800007.9445651,1,342.512115478516,31196.887424795725,3
14,-61568.2057939356,1799997.9445651,1,342.512115478516,31182.74528917199,3
15,-61558.2057939356,1799987.9445651,1,342.512115478516,31168.60315354826,3
16,-61548.2057939356,1799977.9445651,1,342.512115478516,31154.461017924532,3
17,-61538.2057939356,1799967.9445651,1,342.512115478516,31140.3188823008,3
18,-61528.2057939356,1799957.9445651,1,342.236846923828,31126.17674667707,3
19,-61518.2057939356,1799957.9445651,1,342.236846923828,31116.17674667707,3
20,-61508.2057939356,1799947.9445651,2,342.236846923828,31102.034611053343,3
21,-61498.2057939356,1799947.9445651,2,342.236846923828,31092.034611053343,3
22,-61488.2057939356,1799937.9445651,2,342.236846923828,31077.89247542961,3
23,-61478.2057939356,1799937.9445651,2,342.236846923828,31067.89247542961,3
24,-61468.2057939356,1799927.9445651,2,342.236846923828,31053.75033980588,3
25,-61458.2057939356,1799927.9445651,2,342.236846923828,31043.75033980588,3
26,-61448.2057939356,1799917.9445651,2,342.236846923828,31029.60820418215,3
27,-61438.2057939356,1799917.9445651,2,342.236846923828,31019.60820418215,3
28,-61428.2057939356,1799917.9445651,2,342.236846923828,31009.60820418215,3
29,-61418.2057939356,1799907.9445651,2,342.236846923828,30995.466068558417,3
30,-61408.2057939356,1799897.9445651,2,342.236846923828,30981.323932934687,3
31,-61398.2057939356,1799897.9445651,2,342.236846923828,30971.323932934687,3
