FspId,FspX,FspY,SegId,FilledElev
1,-61658.2057939356,1800127.9445651,1,342.556945800781
2,-61648.2057939356,1800117.9445651,1,342.512115478516
3,-61648.2057939356,1800107.9445651,1,342.512115478516
4,-61638.2057939356,1800097.9445651,1,342.512115478516
5,-61628.2057939356,1800087.9445651,1,342.512115478516
6,-61618.2057939356,1800077.9445651,1,342.512115478516
7,-61608.2057939356,1800067.9445651,1,342.512115478516
8,-61598.2057939356,1800057.9445651,1,342.512115478516
9,-61598.2057939356,1800047.9445651,1,342.512115478516
10,-61588.2057939356,1800037.9445651,1,342.512115478516
11,-61588.2057939356,1800027.9445651,1,342.512115478516
12,-61578.2057939356,1800017.9445651,1,342.512115478516
13,-61578.2057939356,1800007.9445651,1,342.512115478516
14,-61568.2057939356,1799997.9445651,1,342.512115478516
15,-61558.2057939356,1799987.9445651,1,342.512115478516
16,-61548.2057939356,1799977.9445651,1,342.512115478516
17,-61538.2057939356,1799967.9445651,1,342.512115478516
18,-61528.2057939356,1799957.9445651,1,342.236846923828
19,-61518.2057939356,1799957.9445651,1,342.236846923828
20,-61508.2057939356,1799947.9445651,2,342.236846923828
21,-61498.2057939356,1799947.9445651,2,342.236846923828
22,-61488.2057939356,1799937.9445651,2,342.236846923828
23,-61478.2057939356,1799937.9445651,2,342.236846923828
24,-61468.2057939356,1799927.9445651,2,342.236846923828
25,-61458.2057939356,1799927.9445651,2,342.236846923828
26,-61448.2057939356,1799917.9445651,2,342.236846923828
27,-61438.2057939356,1799917.9445651,2,342.236846923828
28,-61428.2057939356,1799917.9445651,2,342.236846923828
29,-61418.2057939356,1799907.9445651,2,342.236846923828
30,-61408.2057939356,1799897.9445651,2,342.236846923828
31,-61398.2057939356,1799897.9445651,2,342.236846923828
32,-61388.2057939356,1799887.9445651,2,342.236846923828
33,-61378.2057939356,1799877.9445651,2,342.236846923828
34,-61368.2057939356,1799867.9445651,2,342.236846923828
35,-61368.2057939356,1799857.9445651,2,342.236846923828
36,-61368.2057939356,1799847.9445651,2,342.236846923828
37,-61368.2057939356,1799837.9445651,2,341.995452880859
38,-61368.2057939356,1799827.9445651,2,341.920501708984
39,-61368.2057939356,1799817.9445651,2,341.920501708984
40,-61368.2057939356,1799807.9445651,2,341.920501708984
41,-61368.2057939356,1799797.9445651,2,341.920501708984
42,-61368.2057939356,1799787.9445651,2,341.920501708984
43,-61368.2057939356,1799777.9445651,2,341.920501708984
44,-61368.2057939356,1799767.9445651,2,341.920501708984
45,-61368.2057939356,1799757.9445651,2,341.920501708984
46,-61368.2057939356,1799747.9445651,2,341.920501708984
47,-61358.2057939356,1799737.9445651,2,341.920501708984
48,-61358.2057939356,1799727.9445651,2,341.920501708984
49,-61358.2057939356,1799717.9445651,2,341.920501708984
50,-61348.2057939356,1799707.9445651,2,341.920501708984
51,-61348.2057939356,1799697.9445651,2,341.920501708984
52,-61338.2057939356,1799687.9445651,2,341.617248535156
53,-61338.2057939356,1799677.9445651,2,341.522827148438
54,-61328.2057939356,1799667.9445651,2,341.522827148438
55,-61328.2057939356,1799657.9445651,2,341.45068359375
56,-61328.2057939356,1799647.9445651,2,341.45068359375
57,-61318.2057939356,1799637.9445651,2,341.4384765625
58,-61318.2057939356,1799627.9445651,2,341.4384765625
59,-61308.2057939356,1799617.9445651,2,341.4384765625
60,-61308.2057939356,1799607.9445651,2,341.4384765625
61,-61298.2057939356,1799597.9445651,2,341.4384765625
62,-61288.2057939356,1799587.9445651,2,341.4384765625
63,-61278.2057939356,1799577.9445651,2,341.4384765625
64,-61268.2057939356,1799567.9445651,2,341.4384765625
65,-61258.2057939356,1799557.9445651,2,341.4384765625
66,-61248.2057939356,1799547.9445651,2,341.4384765625
67,-61238.2057939356,1799537.9445651,2,341.4384765625
68,-61228.2057939356,1799527.9445651,2,341.4384765625
69,-61218.2057939356,1799527.9445651,2,341.4384765625
70,-61208.2057939356,1799517.9445651,2,341.4384765625
71,-61198.2057939356,1799517.9445651,2,341.4384765625
72,-61188.2057939356,1799517.9445651,2,341.4384765625
73,-61178.2057939356,1799517.9445651,2,341.4384765625
74,-61168.2057939356,1799527.9445651,2,341.4384765625
75,-61158.2057939356,1799527.9445651,2,341.275909423828
76,-61148.2057939356,1799537.9445651,2,341.275909423828
77,-61138.2057939356,1799547.9445651,2,341.275909423828
78,-61138.2057939356,1799557.9445651,2,341.275909423828
79,-61128.2057939356,1799567.9445651,2,341.275909423828
80,-61128.2057939356,1799577.9445651,2,340.894256591797
81,-61118.2057939356,1799587.9445651,2,340.874786376953
82,-61118.2057939356,1799597.9445651,2,340.874786376953
83,-61118.2057939356,1799607.9445651,2,340.874786376953
84,-61118.2057939356,1799617.9445651,2,340.874786376953
85,-61118.2057939356,1799627.9445651,2,340.874786376953
86,-61118.2057939356,1799637.9445651,2,340.874786376953
87,-61108.2057939356,1799647.9445651,2,340.874786376953
88,-61108.2057939356,1799657.9445651,2,340.726104736328
89,-61118.2057939356,1799667.9445651,2,340.726104736328
90,-61128.2057939356,1799677.9445651,2,340.726104736328
91,-61138.2057939356,1799677.9445651,2,340.726104736328
92,-61148.2057939356,1799677.9445651,2,340.43408203125
93,-61158.2057939356,1799677.9445651,2,340.168609619141
94,-61168.2057939356,1799687.9445651,2,340.168609619141
95,-61178.2057939356,1799697.9445651,2,340.168609619141
96,-61188.2057939356,1799707.9445651,2,340.168609619141
97,-61198.2057939356,1799717.9445651,2,340.168609619141
98,-61198.2057939356,1799727.9445651,2,340.168609619141
99,-61198.2057939356,1799737.9445651,2,340.168609619141
